,stepNo,text,useStove,leavable,duration,start,end
0,0.0,さつまいも/2本(200g),False,False,0.0,4.0,5.0
1,1.0,輪切りにする,False,False,0.0,6.0,8.0
2,2.0,厚めに皮をむく,False,False,0.0,9.5,10.5
3,3.0,5厚めに皮をむく,False,False,0.0,11.0,11.0
4,4.0,厚めに皮をむく,False,False,0.0,11.5,14.5
5,5.0,口大に切る,False,False,0.0,16.0,18.5
6,6.0,-さら,False,False,0.0,19.5,19.5
7,7.0,水にさらす,False,False,0.0,20.5,21.0
8,8.0,水気を切る,False,False,0.0,22.0,23.0
9,9.0,ふんわりとラップをする,False,False,0.0,24.5,25.5
10,10.0,Il,False,False,0.0,26.0,26.0
11,11.0,600Wの,False,False,0.0,27.0,28.5
12,12.0,粗くつぶして冷ます,False,False,0.0,31.5,33.5
13,13.0,ホットクックス150g,False,False,0.0,35.5,39.0
14,14.0,手ですり合わせる,False,False,0.0,40.5,41.5
15,15.0,1手ですり合わせる,False,False,0.0,42.0,43.0
16,16.0,1個,False,False,0.0,45.0,45.5
17,17.0,卵1個,False,False,0.0,46.0,46.0
18,18.0,混ぜる,False,False,0.0,47.5,50.5
19,19.0,さつまいもを加える,False,False,0.0,52.0,53.0
20,20.0,混ぜてひとまとめにする,False,False,0.0,54.5,57.0
21,21.0,クッキングシートの上に置く,False,False,0.0,58.5,59.5
22,22.0,2cmの厚さに丸く伸ばす,False,False,0.0,61.0,63.0
23,23.0,6等分に切る,False,False,0.0,64.5,66.5
24,24.0,間を空けて並べる,False,False,0.0,68.0,70.0
25,25.0,メープルシロップ大さじ2,False,False,0.0,71.5,72.5
26,26.0,ハケでぬる,False,False,0.0,74.0,75.5
27,27.0,黒いりごま適量,False,False,0.0,76.5,78.0
28,28.0,180℃に予熱したオープンで20~25分,False,False,25.0,80.5,82.0
