,stepNo,text,useStove,leavable,duration,start,end
0,0.0,とろーり絶品おかず!肉巻きカマンベーレ,False,False,0.0,3.5,3.5
1,1.0,豚しゃぶしゃぶ肉12枚,False,False,0.0,4.0,5.0
2,2.0,カマンベール6個(カットタイプ),False,False,0.0,6.0,6.5
3,3.0,巻く,False,False,0.0,8.5,9.0
4,4.0,さらに巻く,False,False,0.0,11.0,12.5
5,5.0,サラダ油小さじ2,False,False,0.0,15.5,17.5
6,6.0,肉巻きを入れる,False,False,0.0,18.5,20.5
7,7.0,火が通るまで転がしながら焼く,False,False,0.0,21.0,21.0
8,8.0,火が通る1中kで転がしな泌ら癵く,False,False,0.0,24.0,24.0
9,9.0,火が通るまで転がしな,False,False,0.0,24.5,24.5
10,10.0,焼肉のたれ大さじ1,False,False,0.0,25.5,26.5
11,11.0,体に絡めて完成!,False,False,0.0,29.0,31.5
